saugojimo_id,saugojimo_miestas,saugojimo_adresas
1,Rachelborough,6270 Lowe Spring Apt. 892
2,New Davidburgh,107 Fernando Lock
3,Michaelhaven,2439 Wilson Green
4,Port Dustin,3258 Hamilton Streets Apt. 416
5,Joshuashire,0068 Williams Meadows
6,Taylorfurt,54966 Olson Route Apt. 550
7,Riveraberg,98956 Tran Fort
8,Diazland,3974 Randall Pines Suite 117
9,Port Meganmouth,371 Hicks Shore
10,Andrewmouth,375 Jacob Square Apt. 224
11,Port Michael,215 Waters Avenue
12,East Sandra,2969 George Mall
13,East Matthewchester,71104 Francisco Stream Suite 962
14,Melissafurt,0029 Perez Square Apt. 707
15,Lake Ericabury,984 Mason Hill Suite 605
16,Jonesmouth,2646 Fuller View Apt. 171
